negara,review,rating
Indonesia,sangat puas,5
Indonesia,"game kikir, gj strees ngasih tim epic hdh",1
Indonesia,Game sudah bagus tapi kurangnya kalau mau ganti akun harus punya fb meta kalau pakek fb lite gk bisa ganti akun tolong lah montoon,5
Indonesia,bagus game nya tp kadang servernya down ga bisa di apa apain,4
Indonesia,banyak drak sistem,1
Indonesia,"game hama, matchmaking gejelas, server rusak, user toxic. smg cepet bankrut dah.",1
Indonesia,"GAME BURUK, PLS LAH KALO ORG PICK HERO JANGAN PICK HERO YG BEDA LANE, JADINYA DAPAT DARK SISTEM. ITU MALESNYA MAIN ML. JADI GA MOOD MAIN ML. DITAMBAH LAGI JARINGAN BUSUK! PADAHAL LANCAR! CUACA CERAH TETEP NGELAG. TOLONG LAH MOONTON PERBAIKI SEMUANYA, UDAH LA MIJAK LEGEND TURUN LAGI KARNA DAPAT TIM DARK SYSTEM. TRUS JUGA HERO YG LAGI META DI NERF, TOLONG LAH MOONTON JANGAN BIKIN KAMI KECEWA SAMA GAMEMU!!",1
Indonesia,L ga rekomen buruk busuk ga bagus alahhhhhhhh jelek,1
Indonesia,gamenya bagus,5
Indonesia,gem jembut,1
Indonesia,"mogahan monton memberi diamond gratis untuk ku agar bisa membeli skin gratis amin ,tunggu 5 menit baru dibuat afk, dan jangan turun season mulu",5
Indonesia,benerin tuh sistem macmaking nya tolol,1
Indonesia,geme ini seru menatap pokoknya,5
Indonesia,game main di kasi dark sistem mulu game burik,1
Indonesia,"saya mohon buatkan fitur mvp(kalah) mohon bintangnya tetap naik,agar menghargai orang yg udah gendong eh timnya kek Pel*r,saya tunggu updatenya",1
Indonesia,game rusak wifi bagus tapi in game malah ngelag,1
Indonesia,aneh bikin stress,1
Indonesia,"game nya seru, bisa ngilangin setres",5
Indonesia,geme penghilang stress🗿,5
Indonesia,knp kok sekarang jaringan jadi merah terus SMA kuning padahal wifi masih baik baik aja bisa main blood streak masih aman kok,3
Indonesia,"game ini terlalu minus soal jaringan, masa main game rank classic dll harus ada wifi? kalo ga ada wifi nge lag nya minta ampun hadehh",1
Indonesia,😙,3
Indonesia,"leg bngat babi, padahal jringan gw lancar lo, ada apa si🤬🤬🤬🤬",1
Indonesia,game ini yng sangat aku bikin marah dan sinyal bagus pas di pencet tempat sinyal ping atau merah perbaiki moonton jangan banyak sekin mlu,5
Indonesia,game kontol,1
Indonesia,pelayanan yang lambat,1
Indonesia,👏🏻👏🏻🤙🏻,5
Indonesia,"masa aku cuma cek foto profil, GA MASUK ke profilnya, keliatan di pengunjung terakhir, malu x9999, kan aku udh g deket ama dia, ckp tw dis is kejam, saya me gue malu,, ini harusnya bintang satu tp aku baik y",5
Indonesia,"1. pas main jaringan tiba2 hilang 2. ini pasti bug di aplikasi 3. pas main ( ngeleg, dan pas mati jaringan bagus) kan bngke 4. ini sejak diupdet setelah korona, mkin jelek aplikasi",1
Indonesia,apalah sekalinya di mainin udah menang langsung di kasih tim dark sistem memang monton gak layak buat game ini,1
Indonesia,moonton lu pls bisa gak sih gak usah kasih gw draksystem roam floryn padahal gak ada tb STOP KASIH GW DRAKSYTEM GW LAGI MAIN TRIO lu malah kasih kita 2 orang draksytem,1
Indonesia,game kikir tiap gacha pola bingo selalu dapet pola 50/60 draw,1
Indonesia,membosankan di kasih team parah .......game semoga hilang c*k,1
Indonesia,"Sorry, but I won't be spending my money on games that don't care about trash players who can't even play properly that you put together with me on my team. At least, ban players from playing for 24 hours after they get bronze 3 times in a day.",1
Indonesia,"permainan sistem , ada waktunya menang dikasih team yg jago tar tbtba dikasih team yg baru baru maen yg kurang jago . jadi menurut gue gak worth it mobile legend ini . pokonya ini apk tolong hapus jgn di download",1
Indonesia,game ini sangat seru dan eamah,5
Indonesia,ini kenapa setiap mau naik renk di kasih tim dark sistem sedangkan musuhnya tinnya kaya toblonal tolong di perbaiki kesalahan itu saya sedikit lagi mau naik ke lejen 3 tahun saya belum naik ke lejen,1
Indonesia,game bagus banget sampai saya di kasi ls 13 kali menang cuman 4 sangat rekomendasi buat kalian yang ingin mempunyai adrenalin apalagi di mainin di bulan puasa sangat rekomendasi.buat moonton kalo ngasih tim itu yang bagus jangan ada nomer togel saya stres mau naik imo malah ketemu sama legend sedangkan tim musuh imo sama glory itu tidak adil apalgi ini bulan puasa jangan membuat orang Batal puasa syaa main game buat hiburan bukan stress astaghfirullah kalo bisa kasih syaa ws ya masyaallah,5
Indonesia,seru ko,5
Indonesia,"game dalemnya terlalu banyak darksestem trus stiap kli main qt yg udah honor di kasih 1 team sama legend itu juga klo mainnya solo rank ketemu orang"" gak jelas permainan apa ini game te, game apdet terus tapi isinya banyakan darkasistem masih banyak juga yg nge cheat jaringan pas main lag parah",1
Indonesia,"game merugikan pemain, musuh nya jago tapi timnya anomali, walaupun di rank tinggi tetap aja masih ada yang main mirip pemula, minimal kalo musuh nya jago tim nya juga jago atau normal, ini gak tim nya pada troll mending hapus aja ini gam",1
Indonesia,mas moonton mitak hp atau dm,5
Indonesia,game burik banyak dark sistem juga sistem pembagian player tidak adil,1
Indonesia,sangat bagus game ini walau pun GK pernah naik ke mitik,5
Indonesia,moonton tolong jauhin dark system pliss moonton pliss AKU UDAH KASIH BINTANG LIMA JANGAN DI READ DOANG BACA MOONTON PLISSSSSSSS MOONTON PLISSSSSSSS BANGETT BACA SEKALI AJA TERUS JAWAB YAAAAA MOONTON!!!!!!!!!,5
Indonesia,bagus banget game nya jangan lupa kasi diamond min,5
Indonesia,TIM NYA MONTOON HADEH,1
Indonesia,ini game babi,1
Indonesia,"Tiap main tidak pernah mendapatkan tim yang sesuai dengan harapan player, dari awal bermain sampai saat ini tidak ada perkembangan sekecil apapun, saya kecewa dengan cara bagaimana Moonton memberikan tim kepada player, kalau sistem game ini pay to win, saya tak akan pernah memberi rating di atas bintang 1",1
Indonesia,cih,1
Indonesia,Game kontol,1
Indonesia,gua habis gacha kartu pas match making terus dapet kartu lagend terus pas gua cancel match making nya gua gak dapet kartunya cok. seenggak nya dapet lah yah kan udah gaca terus dapet kartu legend lah ini kagak ludes semua jir skin hadiah gak dapet kesempatan gacha juga abis gak jelas sistem moonton,1
Indonesia,mlbb adalah game mobile online yang terbaik dan cerdas,5
Indonesia,sukaaaa pwoll sama game ini pokoknya love banget buat game ini 😖😖😖😖😖,5
Indonesia,gem lol,1
Indonesia,masih dgn darksitem nya apalagi maen Solo rungkad mau topup berapun juga gak bakal menang maen ini game .semoga ada penggantinya saingan dgn apk kont&l ini kaga jelas njirrrr .apalgi udah turun seoson ketaun banget darksitem nya . game t*ii ini ko*t®l,2
Indonesia,ini seru banget dah,5
Indonesia,"emosi gw anjj udh posisi menang malah ngelag sampe gk bisa gerak, ini dari server mlnya atau gimana jembot udah berkali kali gw ngalamin kalau soal performa hp gw pake infinix gt 20 masa ngelag jembot emosi gw sampe turun rank gara gara ngelag doang anjj anjj",1
Indonesia,seru banget bisa main sama temen atau sama doi gua seru kadang kadang ada bug nyeleneh tapi bisa juga ketemu tim dark sistem,5
Indonesia,"sebenarnya, ini game ada potensi tapi ,kalo udah masuk ke rank honor atau glory , pasti ada aja Cheater berkeliaran pless ada joki joki akun ngga jelas ,sama server yang udah tua banget, game busuk ngapain di update muluk, game Yahudi!",1
Indonesia,seruu banget stresny jdi berkurangg,5
Indonesia,bagus,5
Indonesia,👍👍👍👍👍👍👍👍👍,5
Indonesia,woi dark sistem hapus,1
Indonesia,kasi aku diamond gratis,5
Indonesia,untuk monton itu Fanny bagus kalo ada skin Spiderman di season ini cara menangin nya dengan ada misi tapi no daymen 😁,5
Indonesia,seru,5
Indonesia,game yang menghabiskan waktu,1
Indonesia,siuuuusuuu,5
Indonesia,Makasih mobil legen,3
Indonesia,gameplay bagus tapi pengurasan ram nya terlalu kuat sehingga mudah untuk lag tolong untuk tingkatkan lagi,4
Indonesia,main solo di rank mythic selalu dapet darksistem yang sangat dark bikin emosi saat puasa dari mythical glory jadi mythic biasa,1
Indonesia,perbaiki bug stuck di memuat game padahal jaringan sama device bagus stuck Mulu di memuat game,1
Indonesia,Perbaikan jaringan min ............,1
Indonesia,game nya mantap dan bagus banget,5
Indonesia,game kocak dark sistem semua isinya,1
Indonesia,seruu bangett,5
Indonesia,kalah terus,1
Indonesia,"kenapa saya kadang kena bug jaringan? padahal game sebelumnya dan setelahnya ga ada masalah jaringan, dan bukan cuman saya, kami 1 tim kena bug ini, dan gg nya lagi musuh juga kena sehingga sering mati konyol, ga wajar sih harus giff gw skin legend",1
Indonesia,monton tolong lah Adain di fitur kontrak Hero skin kof plis gw mau trial nya 1 sesek pliss MONTON,3
Indonesia,Karena ada bug yg ga di bener benerin bug nya pas selesai darf pick ngeleg parah ga bisa mencet apa apa tolong lah di perbaiki moonton merugikan banget jadi lama msuk in game nya + LS 11×,1
Indonesia,oi nonton tolong servernya di perbaiki,5
Indonesia,"tolol tololsistem matchmaking nya dungu amat anjg anjg bot nyasar di tim, pepekkkk,sering di cl tim gua komputer tim musuh glory, imo, honor, sring ya ini ga jarang memektiap main cl ls ls ls gua mau belajar combo pepek",1
Indonesia,menyenangkan kadang menyebalkan kadang juga bikin emosi.,5
Indonesia,saya suka dengan gameplay nya tapi ada kerumitan saat melawan musuh,5
Indonesia,"seru, tapi tolong dalam matchmaking lebih adil lagi",5
Indonesia,Saya suka sepanjang lawannya seimbang.,5
Indonesia,"Saran saya, semua Hero di (mode offline) semua Hero di gratis in. Biar ga bosan",1
Indonesia,knp si jaringan ny kyk babi,1
Indonesia,𝒔𝒂𝒏𝒈𝒂𝒕 𝒎𝒆𝒏𝒚𝒆𝒏𝒂𝒏𝒈𝒌𝒂𝒏,5
Indonesia,"sangat buruk asal masuk pertarungan selalu lag,badahal jaringan bagus gak jelas",2
Indonesia,jaringan makin gak stabil kadang lag eror jalan sendiri gak jelas,1
Indonesia,oke,5
Indonesia,geme ini Sagat bagus sekali betewe gua uda epik.🙏,5
Indonesia,"kof pola 6 diskasih aurora, emang jw developer",1
Indonesia,biasa aja,5
Indonesia,"Game labil, jaringan bagus tapi begitu masuk in-game, jaringan langsung down. udah gitu g teratur lagi, kadang di early, mid dan late suka rusak jaringan-nya. g worth it buat dimainin sama orang emosian😮‍💨😮‍💨",1
Indonesia,pengen masuk e-sport,5
Indonesia,jelek,1
Indonesia,kerennnn,5
Indonesia,"tolong lah buat monton, saya mau memulihkan akun ML saya. jadi masalahnya akun gmail saya yang terkaitkan ke akun monton kena hack akun gmailnya jadi kalau mau login lagi harus pake kode Verifikasi, sementara akun gmail nya kena hack orang. login jalur tiktok juga tetap sama harus minta kode verifikasi saya minta pemulihan akun masa harus ada screenshotan pertmana kali top up,sementara saya main ML itu tahun 2018 season 6 device nya juga udah beda tolong lah monton bantu proses saya.",2
Indonesia,woi moonton aku mau login ml malah memuat game terus menerus aku udah daritadi,1
Indonesia,game nya susah buat solo rank,1
Indonesia,seak montoon kalah gua anj game anj kalah mulu gua gent tim anj dari lu anj g. e. t. t. o. t lu monton,1
Indonesia,tolong perbaiki leg dalam gems,3
Indonesia,game haram dapat tim kek Kon*** jem**** ngen****,1
Indonesia,game stresss,1
Indonesia,bagus kok nostalgia,5
Indonesia,aku dh main beberapa kalii tapi ketagihan hehe bagus bgt sih ni game 😆😆😆,5
Indonesia,monton knp cepet kali turun seson aku blum mitick loh mana banyak tim yg ke. binatang,3
Indonesia,pretty good,5
Indonesia,dikasih losetreak mulu,5
Indonesia,"inii bagaimana? setiap aku main baru login udah dikasih tim darksistem, algoritma berantakan glory tiba tiba muncul legend, tim lawan sangat dominan sedangkan tim sendiri tidak mau bekerja sama, player nya juga gitu cabul, egois, pemarah dan sangat tidak ramah ini sebenarnya game atau membuat mental lemah?",2
Indonesia,"di ksih bintang 5 bkn ny ubah diri makin gelo, noh mkn satu biji gua ksih, adil dikit sm player solo anj",1
